text,pack,pick,color
John Dramani Mahama's secret weapon to combat corruption: _.,Ghana CAH News&Enterrtainment,1,black
The real reason government officials are scared of John Dramani Mahama: _.,Ghana CAH News&Enterrtainment,1,black
John Dramani Mahama's campaign promise: Eliminating _ once and for all.,Ghana CAH News&Enterrtainment,1,black
Janet Nabla's preferred tactic in political debates: _.,Ghana CAH News&Enterrtainment,1,black
The real reason eleven NEC members resigned to form a new party: _.,Ghana CAH News&Enterrtainment,1,black
"To solve the integrity issue, the People's National Party introduced a mandatory policy on _.",Ghana CAH News&Enterrtainment,1,black
"Alan Kyerematen was shocked when, instead of fear and surprise, the chief weapon of the Movement for Change turned out to be _.",Ghana CAH News&Enterrtainment,1,black
"After the launch of the Alliance for Revolutionary Change, it was revealed that the good news was _ and the bad news was _.",Ghana CAH News&Enterrtainment,2,black
"Dear Agony Aunt, I'm having some trouble with _, and I need your advice on how it can help us win the election.",Ghana CAH News&Enterrtainment,1,black
"Amidst the chaos in the NPP Seattle community, a surprising ally emerged: _.",Ghana CAH News&Enterrtainment,1,black
The unexpected consequence of merging the NPP chapters: _.,Ghana CAH News&Enterrtainment,1,black
"In a desperate attempt to maintain peace, the NPP Seattle leaders resorted to _.",Ghana CAH News&Enterrtainment,1,black
"After Alan Kyerematen's revolutionary approach to road infrastructure development, the next big thing in Ghana will be _.",Ghana CAH News&Enterrtainment,1,black
"With the shift towards private financing for road projects, the Western Region is now known for _.",Ghana CAH News&Enterrtainment,1,black
"During the private sector investment tour, Alan Kyerematen was caught in a scandal involving _.",Ghana CAH News&Enterrtainment,1,black
"Unknown to many, Asantehene Otumfuo Osei Tutu II's secret power is his ability to control _.",Ghana CAH News&Enterrtainment,1,black
"In a surprising turn of events, Asantehene Otumfuo Osei Tutu II's next decree will declare _ as the new national holiday.",Ghana CAH News&Enterrtainment,1,black
"After successfully averting an economic crisis, Asantehene Otumfuo Osei Tutu II's next goal is to eliminate _ from the kingdom.",Ghana CAH News&Enterrtainment,1,black
"Upon discovering the government's financial misconduct, NAGRAT's President, Angel Carbonu, revealed the shocking truth of Tier 2 pension scheme contributions being used for _ instead.",Ghana CAH News&Enterrtainment,1,black
"The government's failure to transfer mandatory contributions has left over 700,000 Ghanaian workers resorting to _ as a means of survival.",Ghana CAH News&Enterrtainment,1,black
Angel Carbonu's ultimatum to the government included the demand for immediate action on _ to secure the financial future of workers.,Ghana CAH News&Enterrtainment,1,black
"In a shocking turn of events, it was discovered that Mamaa's murder was actually caused by _.",Ghana CAH News&Enterrtainment,1,black
The secret behind the farmer's mysterious disappearance was revealed to be a result of his involvement in _.,Ghana CAH News&Enterrtainment,1,black
"After the tragic shooting, the community of Adaklu Tevikpo rallied together to cope with the aftermath by embracing _.",Ghana CAH News&Enterrtainment,1,black
"To achieve her vision of efficient justice delivery, Chief Justice Gertrude Araba Esaaba Sackey Torkornoo proposed implementing _ into the court system.",Ghana CAH News&Enterrtainment,1,black
"In order to combat inefficiencies in the justice system, the Chief Justice suggested a new policy requiring _ for all court proceedings.",Ghana CAH News&Enterrtainment,1,black
"In a groundbreaking move towards modernisation, the Chief Justice announced plans to invest in _ for electronic storage and quick access.",Ghana CAH News&Enterrtainment,1,black
